lambda,sigma_0.01,sigma_0.05,sigma_0.10,sigma_0.50
0.001000,0.930407,4.652229,9.305126,46.587558
0.001456,0.929140,4.645893,9.292452,46.524067
0.002121,0.927302,4.636702,9.274067,46.431962
0.003089,0.924640,4.623392,9.247443,46.298582
0.004498,0.920795,4.604166,9.208986,46.105924
0.006551,0.915262,4.576498,9.153641,45.828663
0.009541,0.907341,4.536889,9.074411,45.431748
0.013895,0.896087,4.480611,8.961839,44.867800
0.020236,0.880265,4.401495,8.803585,44.075006
0.029471,0.858351,4.291912,8.584387,42.976913
0.042919,0.828608,4.143183,8.286885,41.486564
0.062506,0.789322,3.946737,7.893938,39.518108
0.091030,0.739229,3.696247,7.392888,37.008171
0.132571,0.678092,3.390533,6.781377,33.944992
0.193070,0.607243,3.036257,6.072733,30.395423
0.281177,0.529751,2.648766,5.297659,26.513367
0.409492,0.449972,2.249842,4.499722,22.517189
0.596362,0.372575,1.862832,3.725631,18.640941
0.868511,0.301494,1.507413,3.014740,15.081790
1.264855,0.239271,1.196294,2.392474,11.967026
1.842070,0.186948,0.934679,1.869239,9.348623
2.682696,0.144354,0.721715,1.443319,7.217789
3.906940,0.110543,0.552671,1.105251,5.526919
5.689866,0.084201,0.420969,0.841870,4.209927
8.286428,0.063937,0.319660,0.639275,3.197111
12.067926,0.048468,0.242329,0.484636,2.424175
17.575106,0.036707,0.183532,0.367059,1.836554
25.595479,0.027781,0.138905,0.277818,1.390542
37.275937,0.021016,0.105086,0.210191,1.052481
54.286754,0.015906,0.079533,0.159088,0.796924
79.060432,0.012104,0.060310,0.120638,0.604526
115.139540,0.009710,0.045978,0.091852,0.460272
167.683294,0.010510,0.035875,0.070599,0.352359
244.205309,0.017435,0.031461,0.056304,0.271741
355.648031,0.031473,0.037181,0.051673,0.212301
517.947468,0.053307,0.055201,0.061589,0.171598
754.312006,0.083511,0.083940,0.086264,0.151416
1098.541142,0.121773,0.121575,0.122132,0.154671
1599.858720,0.166564,0.166013,0.165713,0.178689
2329.951811,0.215246,0.214428,0.213611,0.215561
3393.221772,0.264504,0.263453,0.262256,0.257594
4941.713361,0.310949,0.309687,0.308180,0.299139
7196.856730,0.351669,0.350220,0.348455,0.336282
10481.131342,0.384593,0.382985,0.381006,0.366517
15264.179672,0.408618,0.406884,0.404739,0.388552
22229.964825,0.423547,0.421722,0.419458,0.402109
32374.575428,0.429889,0.428011,0.425679,0.407651
47148.663635,0.428628,0.426734,0.424379,0.406094
68664.884500,0.421005,0.419124,0.416784,0.398563
100000.000000,0.408354,0.406503,0.404200,0.386235
